46,46,Department of Architecture,architecture,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
47,47,Department of Civil Engineering,Civil engineer,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
4,48,Department of Psychology,psychology-css,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
9,49,Department of Electrical Engineering,Electrical engineering Department,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
17,50,Department Of Economics,Economics Dept,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
41,51,Department Of Management Studies,Managment \'11,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
52,52,Department of Accounting,accounting.,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
53,53,College of Business Administration,College of Business Administration,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
54,54,Professor of Accounting and Director of Business Development & Corporate Relations,Professor of Accounting and Director of Business Development & Corporate Relations,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
41,55,Department Of Management Studies,MBA,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
56,56,College Of Arts and Science,College Of Arts and Science,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
57,57,Dealing Room,Dealing Room,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
58,58,Student,Student,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,yes
41,59,Department Of Management Studies,MBA Student,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
3,60,Department of Finance,FIN,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
61,61,Department of Mass Communication,Mass Communication & Media,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
62,62,Public Relation and advertising,Public Relation and advertising,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
63,63,Department of Public Relations,PR department,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
64,64,Department of Advertising and Public Relations,Public relations and advertising,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
63,65,Department of Public Relations,Public Relations,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
61,66,Department of Mass Communication,Mass Communication Department,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
67,67,Testing,Testing,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
61,68,Department of Mass Communication,mass communication,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
10,69,Department of Mathematics,Foundation Math,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
70,70,QA,QA,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,yes
71,71,F,F,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,yes
72,72,Department Of English Language and Literature,English language Unit,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
73,73,PA,PA,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,yes
74,74,Department of Curriculum and Instruction,Curriculum & Instruction,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
75,75,Testing Department,Testing Department,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
76,76,Department of Industrial and Manufacturing Systems Engineering,IMSE,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
47,77,Department of Civil Engineering,Civil Engineering,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
6,78,Department of Industrial Engineering,Industrial Engineering Student,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
79,79,Department of Industrial Engineering & Management Systems,Industrial Engineering and Management System,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
80,80,Department of Chemical Engineering,Chemical Engineering,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
47,81,Department of Civil Engineering,Civil,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
82,82,It company,It company,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,yes
9,83,Department of Electrical Engineering,⚡️,NULL,1,2017-06-21 11:56:35,2017-06-21 11:56:35,NULL,NULL,
34,84,Department of Computer Science,Computer,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
9,85,Department of Electrical Engineering,Electrical Engineer,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
9,86,Department of Electrical Engineering,Electrical,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
87,87,Department of Petroleum Engineering,Petroleum Engineering,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
9,88,Department of Electrical Engineering,Electric Department ⚡️,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
47,89,Department of Civil Engineering,Civil Engineering!,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
47,90,Department of Civil Engineering,Civil Engineering Department,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
91,91,Department of Mechanical Engineering,Mechanical Engineering,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
80,92,Department of Chemical Engineering,Chemical,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
80,93,Department of Chemical Engineering,Chemical Engineer,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
34,94,Department of Computer Science,Computer Engineering,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
91,95,Department of Mechanical Engineering,Mechanical Engineering Department,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
87,96,Department of Petroleum Engineering,Petroleum,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
9,97,Department of Electrical Engineering,Electric Engineering,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
87,98,Department of Petroleum Engineering,Petroluem Engineering,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
47,99,Department of Civil Engineering,Civil Engineering Student Class Of \'10,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
91,100,Department of Mechanical Engineering,ME,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
9,101,Department of Electrical Engineering,E.Engineering♡,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
34,102,Department of Computer Science,Computer Department,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
103,103,هندسه كهربائيه,هندسه كهربائيه,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
9,104,Department of Electrical Engineering,Electrical engineering ⚡️⚡️,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
91,105,Department of Mechanical Engineering,Mechanical Engineer,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
9,106,Department of Electrical Engineering,Electrical engineering student,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
87,107,Department of Petroleum Engineering,PE,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
108,108,ele,ele,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
80,109,Department of Chemical Engineering,Chemical Engineering Department,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
110,110,Engineering,Engineering,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
3,111,Department of Finance,Fin.,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
3,112,Department of Finance,Finance & Financial Institutions Student,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
47,113,Department of Civil Engineering,Civil engineering.,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
6,114,Department Of Industrial Engineering,Industrial,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
9,115,Department of Electrical Engineering,EE,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
6,116,Department Of Industrial Engineering,IE,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
52,117,Department of Accounting,acc,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
91,118,Department of Mechanical Engineering,MechanicalEngineer,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
79,119,Department of Industrial Engineering & Management Systems,Industrial And Management System Engineering,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
91,120,Department of Mechanical Engineering,Mechanical,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
79,121,Department of Industrial Engineering & Management Systems,Industrial & Systems Management,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
87,122,Department of Petroleum Engineering,Petroleum engineer,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
123,123,Department of Chemical and Process Engineering,CpE,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
124,124,OM,OM,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
87,125,Department of Petroleum Engineering,Petroleum Engineering Student,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
91,126,Department of Mechanical Engineering,Mechanical Engineeing,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
127,127,Quality,Quality,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
11,128,Department of Information Technology,it engineering,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
129,129,Department of Cultural Relations,Culture,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
130,130,Foundation Program,Foundation Program Unit,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
9,131,Department of Electrical Engineering,Electrical Department,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
132,132,zfjgjgvh,zfjgjgvh,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
133,133,Fufufgufufjf,Fufufgufufjf,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
134,134,its all about QA,its all about QA,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
135,135,Department of Dentistry,Faculty Of Dentistry,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
136,136,Gfgeijfkbchbdijrkfjorjkfrkjfkjrk,Gfgeijfkbchbdijrkfjorjkfrkjfkjrk,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
137,137,You knobbly,You knobbly,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
9,138,Department of Electrical Engineering,Electrical engineering ⚡,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
139,139,Department,Department,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
140,140,Finance and,Finance and,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
52,141,Department of Accounting,Accounting \'11,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
142,142,Department of Microbiology & Immunology (MIC),MIC,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
143,143,Assistant Professor of Business Administration (Marketing) & Director of Alumni Office,Assistant Professor of Business Administration (Marketing) & Director of Alumni Office,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
144,144,Department of English,Department Of English.,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
145,145,كل الأقسام,كل الأقسام,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
146,146,Finance & Financial Institutions,Finance & Financial Institutions,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
147,147,twitter/insta: @dr_dousari,twitter/insta: @dr_dousari,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
148,148,All,All,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
149,149,CE,CE,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
150,150,قسم القانون العام,قسم القانون العام,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
